new,old
1.184,0.079
0.972,0.036
0.914,0.025
0.922,0.022
1.146,0.044
1.080,0.040
0.960,0.039
1.025,0.047
0.902,0.055
0.959,0.065
0.911,0.046
0.902,0.046
0.974,0.029
0.910,0.042
1.066,0.054
0.968,0.072
0.944,0.020
0.958,0.035
0.991,0.051
0.959,0.035
0.964,0.030
0.928,0.053
0.928,0.037
1.130,0.074
1.006,0.068
0.920,0.026
0.964,0.047
0.940,0.052
1.108,0.050
1.127,0.070
1.258,0.042
1.440,0.063
1.201,0.068
0.998,0.068
0.980,0.045
0.969,0.036
0.958,0.045
0.901,0.079
1.265,0.058
0.991,0.047
0.956,0.047
1.028,0.068
1.223,0.036
1.224,0.043
1.080,0.049
1.130,0.044
1.232,0.058
1.009,0.028
0.970,0.046
0.992,0.065
1.032,0.059
1.197,0.349
1.109,0.025
1.023,0.059
0.915,0.097
0.961,0.042
2.281,0.927
2.634,0.664
2.975,0.412
2.405,0.204
2.173,0.218
1.616,0.298
1.748,0.405
2.701,0.696
2.323,0.720
2.363,0.384
2.487,0.755
2.809,0.366
2.266,0.064
1.704,0.036
1.114,0.055
0.993,0.062
1.063,0.057
0.945,0.030
1.047,0.044
1.031,0.048
1.038,0.025
1.024,0.025
1.038,0.038
0.992,0.057
0.995,0.029
1.073,0.068
1.169,0.053
1.173,0.056
1.026,0.053
1.061,0.042
1.111,0.057
1.254,0.067
1.021,0.055
1.133,0.069
0.965,0.071
1.116,0.034
1.045,0.060
1.101,0.051
1.057,0.060
1.045,0.038
1.035,0.031
1.141,0.063
1.348,0.055
